method,step,total,feasible_covered,infeasible,K
proposed,0,308.0,308.0,0.0,11
proposed,1,374.68395609140174,374.68395609140174,0.0,11
proposed,2,374.68395609140174,374.68395609140174,0.0,11
proposed,3,308.0,308.0,0.0,11
proposed,4,241.31604390859823,241.31604390859823,0.0,11
proposed,5,460.76232779729025,460.76232779729025,0.0,13
proposed,6,566.0689608103424,566.0689608103424,0.0,15
proposed,7,656.8382639620662,656.8382639620662,0.0,18
proposed,8,374.6839560914018,374.6839560914018,0.0,11
proposed,9,308.0,308.0,0.0,11
proposed,10,241.3160439085982,241.3160439085982,0.0,11
proposed,11,241.31604390859817,241.31604390859817,0.0,11
ap,0,308.0,308.0,0.0,13
ap,1,374.6839560914018,285.87899247233577,88.804963619066,13
ap,2,374.6839560914018,285.87899247233577,88.804963619066,13
ap,3,308.0,308.0,0.0,13
ap,4,241.31604390859823,241.31604390859823,0.0,13
ap,5,460.76232779729025,290.6249900747097,170.13733772258058,16
ap,6,566.0689608103423,322.33342540971455,243.73553540062784,16
ap,7,656.8382639620662,210.02206409594572,446.8161998661205,15
ap,8,374.68395609140185,285.8789924723358,88.80496361906602,13
ap,9,308.0,308.0,0.0,13
ap,10,241.3160439085982,241.3160439085982,0.0,13
ap,11,241.31604390859817,241.31604390859817,0.0,13
kmedoids,0,308.0,259.0,49.0,11
kmedoids,1,374.6839560914018,186.12547169475476,188.558484396647,11
kmedoids,2,374.6839560914018,186.12547169475476,188.558484396647,11
kmedoids,3,308.0,259.0,49.0,11
kmedoids,4,241.31604390859823,241.31604390859823,0.0,11
kmedoids,5,460.76232779729025,211.37064669466315,249.39168110262713,13
kmedoids,6,566.0689608103423,271.36451613378364,294.70444467655875,15
kmedoids,7,656.8382639620662,229.46507684992753,427.3731871121387,18
kmedoids,8,374.6839560914018,186.1254716947548,188.55848439664703,11
kmedoids,9,308.0,259.0,49.0,11
kmedoids,10,241.3160439085982,241.3160439085982,0.0,11
kmedoids,11,241.31604390859815,241.31604390859815,0.0,11
