"run_id","method","n_bins","vehicles","start_hour","seed","energy_kwh","battery_remaining_mean_kwh","battery_remaining_min_kwh","battery_remaining_total_kwh","oracle_prep_s","runtime_s","makespan_s","served_bins","served_demand_kg","active_vehicles","exact_coverage","capacity_feasible","battery_feasible","return_feasible","feasible","exact_global_factor_graph","rounds","converged"
"proposed_n84_k10_h00_s7","proposed","84","10","0","7","95.48205883464917","170.45179411653507","151.22791156282602","1704.5179411653507","13.233846199931577","1480.4146833999548","2858.6420714817746","84","13168.0","10","True","True","True","True","True","False","64","False"
"proposed_n84_k10_h01_s7","proposed","84","10","1","7","81.93279222777255","171.80672077722275","162.0420264190882","1718.0672077722274","13.24554110004101","1990.8289241000311","2747.4301076531438","84","13168.0","10","True","True","True","True","True","False","64","True"
"proposed_n84_k10_h02_s7","proposed","84","10","2","7","79.84202872929262","172.01579712707073","164.1561303670559","1720.1579712707073","13.255583900026977","1864.0462111999514","2500.4167510079187","84","13168.0","10","True","True","True","True","True","False","64","False"
"proposed_n84_k10_h03_s7","proposed","84","10","3","7","85.31521922422048","171.46847807757794","158.54734462672624","1714.6847807757795","13.086814400041476","1098.759030999965","3061.092949056481","84","13168.0","10","True","True","True","True","True","False","64","False"
"proposed_n84_k10_h04_s7","proposed","84","10","4","7","78.19759531800982","172.180240468199","161.74746388884725","1721.80240468199","13.16025419998914","2281.111554199946","2626.3418354715477","84","13168.0","10","True","True","True","True","True","False","64","False"
"proposed_n84_k10_h05_s7","proposed","84","10","5","7","82.74503329804283","171.7254966701957","161.81216475805556","1717.254966701957","10.761842499952763","979.9838247000007","2653.358524065653","84","13168.0","10","True","True","True","True","True","False","64","False"
"proposed_n84_k10_h06_s7","proposed","84","10","6","7","89.34247042498616","171.0657529575014","161.23556909524734","1710.6575295750138","12.121093500056304","1515.8866939001018","2598.0608007007468","84","13168.0","10","True","True","True","True","True","False","64","False"
"proposed_n84_k10_h07_s7","proposed","84","10","7","7","106.0050341075926","169.39949658924075","153.65781533526314","1693.9949658924074","14.349457300035283","1693.0839047000045","2940.8747647106165","84","13168.0","10","True","True","True","True","True","False","64","False"
"proposed_n84_k10_h08_s7","proposed","84","10","8","7","120.78712040345725","167.92128795965428","157.2398286781228","1679.2128795965427","13.688899999950081","1347.8832484999439","2747.1273883302624","84","13168.0","10","True","True","True","True","True","False","64","False"
"proposed_n84_k10_h09_s7","proposed","84","10","9","7","134.68951584347877","166.53104841565212","152.51814976619647","1665.3104841565212","10.177960000000894","898.5108354999684","2885.7625472435666","84","13168.0","10","True","True","True","True","True","False","64","False"
"proposed_n84_k10_h10_s7","proposed","84","10","10","7","156.36884993325666","164.36311500667435","152.8236324932003","1643.6311500667434","13.31215830007568","1429.6162048999686","3114.5927663326725","84","13168.0","10","True","True","True","True","True","False","64","False"
"proposed_n84_k10_h11_s7","proposed","84","10","11","7","164.67866901320875","163.53213309867914","151.44637932944687","1635.3213309867913","12.435933399945498","1375.7250003000954","3261.593200727614","84","13168.0","10","True","True","True","True","True","False","64","False"
"proposed_n84_k10_h12_s7","proposed","84","10","12","7","168.0654725273639","163.19345274726362","148.88962371613522","1631.934527472636","11.346923099947162","1287.5233983000508","2906.0258791248525","84","13168.0","10","True","True","True","True","True","False","64","False"
"proposed_n84_k10_h13_s7","proposed","84","10","13","7","152.65658821729576","164.73434117827043","146.30954394476436","1647.3434117827042","13.203688599984162","968.9183867999818","2917.531110796025","84","13168.0","10","True","True","True","True","True","False","64","False"
"proposed_n84_k10_h14_s7","proposed","84","10","14","7","136.4463445623509","166.3553655437649","150.13178108761875","1663.553655437649","10.883341000066139","997.2644114999566","2721.613714871085","84","13168.0","10","True","True","True","True","True","False","64","False"
