start_hour,run_id,method,n_bins,vehicles,seed,energy_kwh,battery_remaining_mean_kwh,battery_remaining_min_kwh,battery_remaining_total_kwh,oracle_prep_s,runtime_s,makespan_s,served_bins,served_demand_kg,active_vehicles,exact_coverage,capacity_feasible,battery_feasible,return_feasible,feasible,exact_global_factor_graph,rounds,converged
0,aco_n84_k10_h00_s7,aco,84,10,7,99.14027334818468,170.08597266518152,155.6728968209042,1700.8597266518152,13.83584419998806,34.100393900007475,2618.729865428997,84,13168.0,10,True,True,True,True,True,,,
0,ga_n84_k10_h00_s7,ga,84,10,7,108.2364377341352,169.17635622658648,159.38557716463396,1691.7635622658647,13.83584419998806,30.466236800013576,2797.23022546644,84,13168.0,10,True,True,True,True,True,,,
0,nn_n84_k10_h00_s7,nn,84,10,7,122.21758102418222,167.77824189758178,159.1811799204133,1677.7824189758178,13.83584419998806,0.318039099976886,2972.330281135701,84,13168.0,10,True,True,True,True,True,,,
0,proposed_n84_k10_h00_s7,proposed,84,10,7,95.48205883464917,170.45179411653507,151.22791156282602,1704.5179411653507,13.233846199931577,1480.4146833999548,2858.6420714817746,84,13168.0,10,True,True,True,True,True,False,64.0,False
0,pso_n84_k10_h00_s7,pso,84,10,7,117.37529753671907,168.2624702463281,160.00172665496376,1682.624702463281,13.83584419998806,18.250712700013537,2806.2054637562665,84,13168.0,10,True,True,True,True,True,,,
1,aco_n84_k10_h01_s7,aco,84,10,7,85.99624663606323,171.4003753363937,161.21187102258807,1714.0037533639368,12.27992020000238,35.7344864999759,2514.0242394841075,84,13168.0,10,True,True,True,True,True,,,
1,ga_n84_k10_h01_s7,ga,84,10,7,86.17487931776097,171.3825120682239,161.20713117945152,1713.825120682239,12.27992020000238,27.675190199981444,2437.780276297045,84,13168.0,10,True,True,True,True,True,,,
1,nn_n84_k10_h01_s7,nn,84,10,7,99.9729818461522,170.0027018153848,158.84675628224971,1700.0270181538478,12.27992020000238,0.2941894000396132,2642.883571177825,84,13168.0,10,True,True,True,True,True,,,
1,proposed_n84_k10_h01_s7,proposed,84,10,7,81.93279222777255,171.80672077722275,162.0420264190882,1718.0672077722274,13.24554110004101,1990.8289241000311,2747.430107653144,84,13168.0,10,True,True,True,True,True,False,64.0,True
1,pso_n84_k10_h01_s7,pso,84,10,7,95.6312179848694,170.43687820151305,160.07321663676112,1704.3687820151306,12.27992020000238,17.556795999989845,2682.66983777122,84,13168.0,10,True,True,True,True,True,,,
2,aco_n84_k10_h02_s7,aco,84,10,7,84.79678356246298,171.5203216437537,161.22992361217732,1715.203216437537,11.82893990003504,33.19226369995158,2505.6248592641005,84,13168.0,10,True,True,True,True,True,,,
2,ga_n84_k10_h02_s7,ga,84,10,7,86.79480530622692,171.3205194693773,163.91527919519294,1713.2051946937731,11.82893990003504,25.21777689998271,2438.636963934201,84,13168.0,10,True,True,True,True,True,,,
2,nn_n84_k10_h02_s7,nn,84,10,7,100.06390832318588,169.99360916768143,159.0558635607588,1699.9360916768142,11.82893990003504,0.3465738999657333,2654.940001317053,84,13168.0,10,True,True,True,True,True,,,
2,proposed_n84_k10_h02_s7,proposed,84,10,7,79.84202872929262,172.01579712707073,164.1561303670559,1720.157971270707,13.255583900026975,1864.0462111999516,2500.4167510079187,84,13168.0,10,True,True,True,True,True,False,64.0,False
