"start_hour","proposed_kwh","aco_kwh","ga_kwh","pso_kwh","nn_kwh","aco_minus_proposed_kwh","ga_minus_proposed_kwh","pso_minus_proposed_kwh","nn_minus_proposed_kwh"
"0","95.4820588346492","99.1402733481847","108.236437734135","117.375297536719","122.217581024182","3.65821451353551","12.754378899486","21.8932387020699","26.7355221895331"
"1","81.9327922277726","85.9962466360632","86.174879317761","95.6312179848694","99.9729818461522","4.06345440829068","4.24208708998842","13.6984257570968","18.0401896183796"
"2","79.8420287292926","84.796783562463","86.7948053062269","94.8319582646178","100.063908323186","4.95475483317036","6.9527765769343","14.9899295353251","20.2218795938933"
"3","85.3152192242205","87.5287383130746","91.2934909524276","104.393190910047","105.929884017111","2.2135190888541","5.97827172820716","19.0779716858264","20.6146647928904"
"4","78.1975953180098","83.7075347152783","88.4853965451096","98.0566455616479","102.712357387678","5.50993939726848","10.2878012270997","19.8590502436381","24.514762069668"
"5","82.7450332980428","88.1454992430999","90.6932398171356","100.343505274628","104.334498337703","5.40046594505708","7.94820651909278","17.5984719765855","21.5894650396599"
"6","89.3424704249862","92.9699697509798","101.015102207941","112.117651054055","119.135306850941","3.6274993259936","11.6726317829551","22.7751806290689","29.7928364259548"
"7","106.005034107593","113.022526771137","120.13098869648","123.118839220745","133.304797096052","7.01749266354459","14.1259545888874","17.1138051131527","27.2997629884597"
"8","120.787120403457","129.269130666478","137.100537965586","151.126997958364","159.850489663433","8.48201026302043","16.313417562129","30.3398775549068","39.0633692599757"
"9","134.689515843479","139.510931748767","149.186050400212","158.398085321957","164.291066133214","4.82141590528803","14.4965345567334","23.708569478478","29.6015502897354"
"10","156.368849933257","161.80601377173","166.577862303096","184.182325350623","189.14402554126","5.43716383847377","10.2090123698397","27.8134754173665","32.7751756080037"
"11","164.678669013209","172.225205623218","188.522134619077","203.614529823495","211.346760484034","7.54653661000881","23.8434656058685","38.9358608102862","46.6680914708257"
"12","168.065472527364","172.613158388262","187.698137429712","201.226373420087","211.105894152053","4.54768586089858","19.6326649023485","33.1609008927226","43.0404216246887"
"13","152.656588217296","158.730968441118","174.082959775746","183.852854609493","190.884984886542","6.07438022382192","21.4263715584503","31.1962663921971","38.2283966692466"
"14","136.446344562351","145.874801690045","155.278910810267","169.626894906725","178.751559419278","9.42845712769437","18.8325662479161","33.1805503443744","42.3052148569268"
"15","124.267450027741","130.045516182427","146.883186083768","158.512389072067","164.721928586478","5.77806615468583","22.6157360560269","34.2449390443267","40.4544785587372"
"16","152.649220963636","154.272455172133","166.542755898693","176.744848340061","181.079054730445","1.62323420849722","13.8935349350569","24.0956273764255","28.4298337668095"
"17","137.064985281619","140.336605516356","153.378999125483","160.628262466648","169.708793340954","3.27162023473662","16.3140138438645","23.5632771850293","32.6438080593348"
"18","124.985617021931","129.855906432636","137.016993051086","151.372520356879","162.587776676937","4.87028941070528","12.0313760291555","26.3869033349483","37.6021596550069"
"19","105.484971756042","108.908573139557","120.969228829562","128.442714335706","132.2844040049","3.42360138351533","15.4842570735204","22.9577425796637","26.7994322488577"
"20","118.451503328971","120.752314329565","128.020294710867","140.347418178888","146.070318913864","2.30081100059382","9.56879138189592","21.8959148499169","27.6188155848925"
"21","117.543071429097","123.502500496354","132.438488633506","149.914294005509","156.632003976282","5.95942906725659","14.8954172044081","32.3712225764117","39.0889325471846"
"22","100.44321963632","108.549175506145","116.363796693815","125.750568011747","129.621616860889","8.10595586982512","15.920577057495","25.307348375427","29.1783972245685"
"23","91.9811148628761","95.5075484444398","107.693416688515","117.216211488167","122.007085254266","3.52643358156377","15.7123018256394","25.2350966252914","30.0259703913903"
