run_id,method,n_bins,vehicles,start_hour,seed,energy_kwh,battery_remaining_mean_kwh,battery_remaining_min_kwh,battery_remaining_total_kwh,oracle_prep_s,runtime_s,makespan_s,served_bins,served_demand_kg,active_vehicles,exact_coverage,capacity_feasible,battery_feasible,return_feasible,feasible,exact_global_factor_graph,rounds,converged,total_demand_kg,target_total_demand_kg,source_csv
aco_n84_k6_h04_s7,aco,84,6,4,7,82.274989765032,166.28750170582802,160.1485992649189,997.725010234968,32.931213499978185,47.09085180005059,3065.1156728842343,84,11700.0,6,True,True,True,True,True,,,,11700.0,11700.0,h04/k06/hourly.csv
ga_n84_k6_h04_s7,ga,84,6,4,7,89.03634953192918,165.16060841134515,159.15367662170112,990.9636504680708,32.931213499978185,24.846641800017096,3148.662241798256,84,11700.0,6,True,True,True,True,True,,,,11700.0,11700.0,h04/k06/hourly.csv
nn_n84_k6_h04_s7,nn,84,6,4,7,103.10504333226298,162.8158261112895,149.74378161469355,976.894956667737,32.931213499978185,0.2600737001048401,3500.7866688524487,84,11700.0,6,True,True,True,True,True,,,,11700.0,11700.0,h04/k06/hourly.csv
proposed_n84_k6_h04_s7,proposed,84,6,4,7,73.49055195497029,167.75157467417162,163.50610455255392,1006.5094480450298,32.931213499978185,6757.445216600085,2795.4682441767404,84,11700.0,6,True,True,True,True,True,False,55.0,True,11700.0,11700.0,h04/k06/hourly.csv
pso_n84_k6_h04_s7,pso,84,6,4,7,97.30297498144712,163.78283750309214,149.74378161469355,982.6970250185528,32.931213499978185,15.263257200014776,3500.7866688524487,84,11700.0,6,True,True,True,True,True,,,,11700.0,11700.0,h04/k06/hourly.csv
aco_n84_k7_h04_s7,aco,84,7,4,7,80.45362992805634,168.50662429599194,163.53959826372008,1179.5463700719436,27.213562700082548,24.258554300060496,3060.4387105854626,84,11700.0,7,True,True,True,True,True,,,,11700.0,11700.0,h04/k07/hourly.csv
ga_n84_k7_h04_s7,ga,84,7,4,7,85.6326799307113,167.7667600098984,160.48556609161176,1174.3673200692888,27.213562700082548,20.08722869993653,2682.412261366038,84,11700.0,7,True,True,True,True,True,,,,11700.0,11700.0,h04/k07/hourly.csv
nn_n84_k7_h04_s7,nn,84,7,4,7,96.42064903025596,166.22562156710632,161.97039920462413,1163.5793509697442,27.213562700082548,0.169012299971655,3076.4476786274704,84,11700.0,7,True,True,True,True,True,,,,11700.0,11700.0,h04/k07/hourly.csv
proposed_n84_k7_h04_s7,proposed,84,7,4,7,73.04222454086185,169.5653964941626,164.49861951035322,1186.9577754591382,27.213562700082548,4155.609061700059,2691.204761782897,84,11700.0,7,True,True,True,True,True,False,64.0,True,11700.0,11700.0,h04/k07/hourly.csv
pso_n84_k7_h04_s7,pso,84,7,4,7,94.31034511191426,166.5270935554408,162.00789064733385,1165.6896548880857,27.213562700082548,11.616672900039704,2974.504736300335,84,11700.0,7,True,True,True,True,True,,,,11700.0,11700.0,h04/k07/hourly.csv
aco_n84_k8_h04_s7,aco,84,8,4,7,80.62554057489766,169.9218074281378,163.86377521831162,1359.3744594251025,14.622454500058666,23.84368639998138,2758.366955690212,84,11700.0,8,True,True,True,True,True,,,,11700.0,11700.0,h04/k08/hourly.csv
ga_n84_k8_h04_s7,ga,84,8,4,7,90.5712036861409,168.67859953923238,156.94028890792913,1349.428796313859,14.622454500058666,17.01261729991529,3146.3718039323694,84,11700.0,8,True,True,True,True,True,,,,11700.0,11700.0,h04/k08/hourly.csv
nn_n84_k8_h04_s7,nn,84,8,4,7,103.6206663124052,167.04741671094934,158.1232757209199,1336.379333687595,14.622454500058666,0.2189145000884309,3642.516338861829,84,11700.0,8,True,True,True,True,True,,,,11700.0,11700.0,h04/k08/hourly.csv
proposed_n84_k8_h04_s7,proposed,84,8,4,7,75.1824759748784,170.6021905031402,164.50003349578955,1364.8175240251217,14.622454500058666,2574.840328499908,2691.204761782897,84,11700.0,8,True,True,True,True,True,False,64.0,False,11700.0,11700.0,h04/k08/hourly.csv
pso_n84_k8_h04_s7,pso,84,8,4,7,98.02241871520322,167.7471976605996,162.97936508582129,1341.9775812847968,14.622454500058666,12.346557200071402,2831.4653866212307,84,11700.0,8,True,True,True,True,True,,,,11700.0,11700.0,h04/k08/hourly.csv
aco_n84_k9_h04_s7,aco,84,9,4,7,80.2874713135617,171.0791698540487,160.0816707832448,1539.7125286864384,14.55012120003812,24.378158700070344,3247.315756663216,84,11700.0,9,True,True,True,True,True,,,,11700.0,11700.0,h04/k09/hourly.csv
ga_n84_k9_h04_s7,ga,84,9,4,7,81.56089605676577,170.9376782159149,161.10993560211924,1538.4391039432342,14.55012120003812,21.43606500001624,3041.581982420823,84,11700.0,9,True,True,True,True,True,,,,11700.0,11700.0,h04/k09/hourly.csv
nn_n84_k9_h04_s7,nn,84,9,4,7,105.6727393309251,168.25858451878608,156.21535946738734,1514.3272606690748,14.55012120003812,0.2564450999489054,3068.476187764144,84,11700.0,9,True,True,True,True,True,,,,11700.0,11700.0,h04/k09/hourly.csv
proposed_n84_k9_h04_s7,proposed,84,9,4,7,78.16244773171778,171.31528358536468,162.94383481886064,1541.8375522682825,14.55012120003812,3301.5606372000184,2852.926856508293,84,11700.0,9,True,True,True,True,True,False,64.0,False,11700.0,11700.0,h04/k09/hourly.csv
pso_n84_k9_h04_s7,pso,84,9,4,7,100.27876447140396,168.85791505873289,157.65816798988047,1519.721235528596,14.55012120003812,12.310033199959436,3003.866433799876,84,11700.0,9,True,True,True,True,True,,,,11700.0,11700.0,h04/k09/hourly.csv
aco_n84_k10_h04_s7,aco,84,10,4,7,82.49199209811152,171.75080079018886,159.9589874969366,1717.5080079018885,14.745866100070998,24.126958400011063,2647.8457589078207,84,11700.0,10,True,True,True,True,True,,,,11700.0,11700.0,h04/k10/hourly.csv
ga_n84_k10_h04_s7,ga,84,10,4,7,89.84409729316225,171.01559027068376,163.78973461606182,1710.1559027068377,14.745866100070998,18.55109880003147,2710.279737431813,84,11700.0,10,True,True,True,True,True,,,,11700.0,11700.0,h04/k10/hourly.csv
nn_n84_k10_h04_s7,nn,84,10,4,7,103.7544070999368,169.62455929000632,159.54545620349245,1696.2455929000632,14.745866100070998,0.2378545999526977,3419.821360620862,84,11700.0,10,True,True,True,True,True,,,,11700.0,11700.0,h04/k10/hourly.csv
proposed_n84_k10_h04_s7,proposed,84,10,4,7,81.20830220248354,171.87916977975163,159.04607012658542,1718.7916977975165,14.745866100070998,3486.5305320998887,3080.1441583747323,84,11700.0,10,True,True,True,True,True,False,63.0,True,11700.0,11700.0,h04/k10/hourly.csv
pso_n84_k10_h04_s7,pso,84,10,4,7,98.30218871607528,170.16978112839246,163.1239854217595,1701.6978112839247,14.745866100070998,12.305101900128648,2644.976133822147,84,11700.0,10,True,True,True,True,True,,,,11700.0,11700.0,h04/k10/hourly.csv
aco_n84_k11_h04_s7,aco,84,11,4,7,81.9811118336767,172.54717165148392,160.86793479879017,1898.0188881663232,14.880781800020486,24.56729539996013,2691.554177016817,84,11700.0,11,True,True,True,True,True,,,,11700.0,11700.0,h04/k11/hourly.csv
ga_n84_k11_h04_s7,ga,84,11,4,7,85.64059111595763,172.21449171673112,162.15702131167856,1894.3594088840423,14.880781800020486,24.58859340008348,3034.722050702043,84,11700.0,11,True,True,True,True,True,,,,11700.0,11700.0,h04/k11/hourly.csv
nn_n84_k11_h04_s7,nn,84,11,4,7,108.19471274744213,170.1641170229598,159.54545620349245,1871.805287252558,14.880781800020486,0.2793163000606,3419.821360620862,84,11700.0,11,True,True,True,True,True,,,,11700.0,11700.0,h04/k11/hourly.csv
proposed_n84_k11_h04_s7,proposed,84,11,4,7,80.52709312819611,172.67935517016397,158.3905966245444,1899.472906871804,14.880781800020486,5524.868858400034,3274.903674147347,84,11700.0,11,True,True,True,True,True,False,64.0,False,11700.0,11700.0,h04/k11/hourly.csv
pso_n84_k11_h04_s7,pso,84,11,4,7,102.01503989423271,170.72590546416066,161.9167333522782,1877.9849601057672,14.880781800020486,13.14773890003562,2660.8745049346226,84,11700.0,11,True,True,True,True,True,,,,11700.0,11700.0,h04/k11/hourly.csv
aco_n84_k12_h04_s7,aco,84,12,4,7,84.44561334316249,172.96286555473645,161.23180520883304,2075.5543866568373,15.086173499934375,23.079528799979016,2544.8615474499866,84,11700.0,12,True,True,True,True,True,,,,11700.0,11700.0,h04/k12/hourly.csv
ga_n84_k12_h04_s7,ga,84,12,4,7,87.68805840699082,172.69266179941744,164.08725634994758,2072.311941593009,15.086173499934375,19.12186990003101,2501.95168523198,84,11700.0,12,True,True,True,True,True,,,,11700.0,11700.0,h04/k12/hourly.csv
nn_n84_k12_h04_s7,nn,84,12,4,7,105.47237545447848,171.21063537879346,162.290458800615,2054.5276245455216,15.086173499934375,0.2927928999997675,2807.1488386405213,84,11700.0,12,True,True,True,True,True,,,,11700.0,11700.0,h04/k12/hourly.csv
proposed_n84_k12_h04_s7,proposed,84,12,4,7,82.62345141061512,173.11471238244874,160.94820138023434,2077.376548589385,15.086173499934375,3019.514787300024,2907.7425990837114,84,11700.0,12,True,True,True,True,True,False,64.0,False,11700.0,11700.0,h04/k12/hourly.csv
pso_n84_k12_h04_s7,pso,84,12,4,7,99.43923054542424,171.71339745454796,160.99245818557702,2060.560769454576,15.086173499934375,14.506656900048256,2737.5038143554534,84,11700.0,12,True,True,True,True,True,,,,11700.0,11700.0,h04/k12/hourly.csv
aco_n84_k13_h04_s7,aco,84,13,4,7,85.56501173657486,173.41807602026347,159.76725599828472,2254.434988263425,14.381356199970469,23.660797300050035,2709.3933941401674,84,11700.0,13,True,True,True,True,True,,,,11700.0,11700.0,h04/k13/hourly.csv
ga_n84_k13_h04_s7,ga,84,13,4,7,85.92715318900358,173.39021898546127,164.4084649905894,2254.0728468109965,14.381356199970469,23.43583139986731,2719.218576869273,84,11700.0,13,True,True,True,True,True,,,,11700.0,11700.0,h04/k13/hourly.csv
nn_n84_k13_h04_s7,nn,84,13,4,7,106.59902338626344,171.80007512413357,162.290458800615,2233.4009766137365,14.381356199970469,0.3129297001287341,2807.1488386405213,84,11700.0,13,True,True,True,True,True,,,,11700.0,11700.0,h04/k13/hourly.csv
