method,vehicles,mean_energy_kwh,min_energy_kwh,max_energy_kwh,mean_makespan_s
aco,6,124.3128689098446,82.274989765032,176.61528777176508,3565.96530310295
aco,7,116.91291114701203,80.45362992805634,163.24911013522373,3728.2250780005597
aco,8,117.17659950950548,80.62554057489766,163.15024117979388,3064.9506067238544
aco,9,118.11330699905324,80.2874713135617,165.19460864328886,3528.7395005263884
aco,10,119.44872193791274,82.49199209811152,167.9286942654579,3302.1890746517533
aco,11,120.47548079283865,81.9811118336767,166.85779226332605,3053.9435349396285
aco,12,123.1644701422167,84.44561334316249,170.96135959375962,3312.308728437972
aco,13,124.30351462568967,85.56501173657486,174.78310027043636,3099.372368497958
aco,14,127.54576811934164,86.80037661819532,181.593376862662,3178.408609675371
ga,6,129.4747792520079,89.03634953192918,180.42910007615444,3913.3469972366815
ga,7,123.77849491188846,85.6326799307113,174.55228815124977,3013.2480399885258
ga,8,124.81584551336111,90.5712036861409,171.03955123906564,3204.905519465274
ga,9,123.64289243459929,81.56089605676577,176.29444654958758,2964.6429797412798
ga,10,130.23980282075567,89.84409729316225,179.05918338031944,3265.8942343127255
ga,11,129.1503636866852,85.64059111595763,184.8704678607529,3115.749323488577
ga,12,126.85715562323976,87.68805840699082,177.75732863676467,3019.165348814197
ga,13,133.3081220389786,85.92715318900358,191.86502628045383,2987.985815846279
ga,14,132.0305958091058,87.43633016308367,185.64035772786573,3071.02187403383
nn,6,141.85513307015216,103.10504333226298,195.7575286058029,4129.097217754883
nn,7,142.77623525507803,96.42064903025596,203.01328152914127,3477.4614797551367
nn,8,145.7861922145623,103.6206663124052,204.73080495332945,3688.543047763402
nn,9,146.8637327160944,105.6727393309251,197.09300414197813,3262.169627720647
nn,10,148.03641121322906,103.7544070999368,207.10325274712528,3184.0193535208405
nn,11,149.26865840493562,108.19471274744213,206.26526871151933,3184.0193535208405
nn,12,148.923608644441,105.47237545447848,205.77820577686228,2979.7951795273934
nn,13,150.6130008952057,106.59902338626344,208.1324434155312,2979.7951795273934
nn,14,152.63029596806098,107.62441103271009,211.02472701580453,2979.7951795273934
proposed,6,107.10016032434321,73.49055195497029,150.30643123322838,3110.3146969945697
proposed,7,108.01930076850105,73.04222454086185,152.3468398529932,2998.2688357975235
proposed,8,110.6103445326408,75.1824759748784,153.37495083092102,3220.9388250030242
proposed,9,113.61857806769838,78.16244773171778,161.5543386248085,2940.0159568182244
proposed,10,114.23689114177847,81.20830220248354,158.60739592362938,3282.853241201386
proposed,11,117.3300775037208,80.52709312819611,165.2007601270518,3231.2678595395323
proposed,12,118.11282872064005,82.62345141061512,165.23361379647187,3167.232129943326
proposed,13,120.79231863848247,83.14997897412285,171.79928044015043,3343.6359355621557
proposed,14,121.03475646615989,81.64555816173345,172.2395821063041,3020.8030562712593
pso,6,138.803508701003,97.30297498144712,192.97047298856623,4126.598715885317
pso,7,136.6431575518644,94.31034511191426,187.61613549623405,3474.296669692932
pso,8,138.1727473193856,98.02241871520322,188.70675822769,3357.142956063303
pso,9,140.0225778527274,100.27876447140396,186.68381767591416,3143.013088280159
pso,10,142.1885155480585,98.30218871607528,198.5215109166004,3148.921709421971
pso,11,143.3197179668908,102.01503989423271,198.6975807101534,3034.2957249904953
pso,12,141.05467544460387,99.43923054542424,191.3970805179172,3401.4474441161033
pso,13,141.30482317674787,96.21017314306248,196.53038698382207,2996.170068859937
pso,14,145.74528720470119,100.35089966487848,203.45724842107268,3027.26962225504
