start_hour,vehicles,method,energy_kwh
4,6,proposed,73.49055195497029
4,7,proposed,73.04222454086185
4,8,proposed,75.1824759748784
4,9,proposed,78.16244773171778
4,10,proposed,81.20830220248354
4,11,proposed,80.52709312819611
4,12,proposed,82.62345141061512
4,13,proposed,83.14997897412285
4,14,proposed,81.64555816173345
11,6,proposed,150.30643123322838
11,7,proposed,152.3468398529932
11,8,proposed,153.37495083092102
11,9,proposed,161.5543386248085
11,10,proposed,158.60739592362938
11,11,proposed,165.2007601270518
11,12,proposed,165.23361379647187
11,13,proposed,171.79928044015043
11,14,proposed,172.2395821063041
19,6,proposed,97.50349778483094
19,7,proposed,98.66883791164804
19,8,proposed,103.27360679212298
19,9,proposed,101.13894784656888
19,10,proposed,102.89497529922248
19,11,proposed,106.26237925591448
19,12,proposed,106.4814209548332
19,13,proposed,107.42769650117414
19,14,proposed,109.21912913044214
