method,policy,epoch,elapsed_min,n,cumulative_energy_kwh_mean,cumulative_energy_kwh_std,cumulative_energy_kwh_min,cumulative_energy_kwh_max,cumulative_operating_s_mean,cumulative_operating_s_std,cumulative_operating_s_min,cumulative_operating_s_max,cumulative_planning_runtime_s_mean,cumulative_planning_runtime_s_std,cumulative_planning_runtime_s_min,cumulative_planning_runtime_s_max,latency_adjusted_energy_kwh_mean,latency_adjusted_energy_kwh_std,latency_adjusted_energy_kwh_min,latency_adjusted_energy_kwh_max
aco,adaptive,0,0.0,10,18.680839634308786,0.0,18.680839634308786,18.680839634308786,60.0,0.0,60.0,60.0,31.84011709992774,0.0,31.84011709992774,31.84011709992774,18.680839634308786,0.0,18.680839634308786,18.680839634308786
aco,adaptive,1,1.0,10,23.44890122770917,0.0,23.44890122770917,23.44890122770917,120.0,0.0,120.0,120.0,31.84011709992774,0.0,31.84011709992774,31.84011709992774,23.44890122770917,0.0,23.44890122770917,23.44890122770917
aco,adaptive,2,2.0,10,28.755198680519733,0.0,28.75519868051973,28.75519868051973,180.0,0.0,180.0,180.0,31.84011709992774,0.0,31.84011709992774,31.84011709992774,28.755198680519733,0.0,28.75519868051973,28.75519868051973
aco,adaptive,3,3.0,10,33.41526457852969,0.0,33.41526457852969,33.41526457852969,240.0,0.0,240.0,240.0,31.84011709992774,0.0,31.84011709992774,31.84011709992774,33.41526457852969,0.0,33.41526457852969,33.41526457852969
aco,adaptive,4,4.0,10,36.43978128070112,0.0,36.43978128070112,36.43978128070112,300.0,0.0,300.0,300.0,31.84011709992774,0.0,31.84011709992774,31.84011709992774,36.43978128070112,0.0,36.43978128070112,36.43978128070112
aco,adaptive,5,5.0,10,39.30771540054432,0.0,39.30771540054432,39.30771540054432,360.0,0.0,360.0,360.0,258.9864950699266,1.9431066146552693,254.7523776999442,261.2810268998146,39.30771540054432,0.0,39.30771540054432,39.30771540054432
aco,adaptive,6,6.0,10,42.82760875349523,0.0,42.82760875349523,42.82760875349523,420.0,0.0,420.0,420.0,258.9864950699266,1.9431066146552693,254.7523776999442,261.2810268998146,42.82760875349523,0.0,42.82760875349523,42.82760875349523
aco,adaptive,7,7.0,10,46.91926083485265,0.0,46.91926083485265,46.91926083485265,480.0,0.0,480.0,480.0,258.9864950699266,1.9431066146552693,254.7523776999442,261.2810268998146,46.91926083485265,0.0,46.91926083485265,46.91926083485265
aco,adaptive,8,8.0,10,48.86578930116977,0.0,48.86578930116977,48.86578930116977,540.0,0.0,540.0,540.0,258.9864950699266,1.9431066146552693,254.7523776999442,261.2810268998146,48.86578930116977,0.0,48.86578930116977,48.86578930116977
aco,adaptive,9,9.0,10,52.71229306871688,0.0,52.71229306871688,52.71229306871688,600.0,0.0,600.0,600.0,258.9864950699266,1.9431066146552693,254.7523776999442,261.2810268998146,52.71229306871688,0.0,52.71229306871688,52.71229306871688
aco,adaptive,10,10.0,10,54.95292495241339,0.0,54.95292495241339,54.95292495241339,660.0,0.0,660.0,660.0,389.99901384988334,2.6347472831426333,386.6269457999151,396.0465285998071,54.95292495241339,0.0,54.95292495241339,54.95292495241339
