method,policy,n,cumulative_energy_kwh_mean,cumulative_energy_kwh_std,cumulative_energy_kwh_min,cumulative_energy_kwh_max,cumulative_operating_s_mean,cumulative_operating_s_std,cumulative_operating_s_min,cumulative_operating_s_max,cumulative_planning_runtime_s_mean,cumulative_planning_runtime_s_std,cumulative_planning_runtime_s_min,cumulative_planning_runtime_s_max,latency_adjusted_energy_kwh_mean,latency_adjusted_energy_kwh_std,latency_adjusted_energy_kwh_min,latency_adjusted_energy_kwh_max,latency_adjusted_time_s_mean,latency_adjusted_time_s_std,latency_adjusted_time_s_min,latency_adjusted_time_s_max,replanning_runtime_s_mean,replanning_runtime_s_std,replanning_runtime_s_min,replanning_runtime_s_max,post_departure_latency_adjusted_energy_kwh_mean,post_departure_latency_adjusted_energy_kwh_std,post_departure_latency_adjusted_energy_kwh_min,post_departure_latency_adjusted_energy_kwh_max,post_departure_latency_adjusted_time_s_mean,post_departure_latency_adjusted_time_s_std,post_departure_latency_adjusted_time_s_min,post_departure_latency_adjusted_time_s_max,replan_attempts_mean,replan_attempts_std,replan_attempts_min,replan_attempts_max,accepted_replans_mean,accepted_replans_std,accepted_replans_min,accepted_replans_max
aco,adaptive,10,159.19856765169345,7.236673326131849,148.82397424205928,173.94145021138863,3598.378163079606,402.0774770308273,2994.023190715688,4168.59427169528,686.4382898098789,35.74399740720388,634.9117691998836,740.5064095996786,159.19856765169345,7.236673326131849,148.82397424205928,173.94145021138863,3598.378163079606,402.0774770308273,2994.023190715688,4168.59427169528,654.5981727099512,35.74399740720388,603.0716520999558,708.6662924997509,159.19856765169345,7.236673326131849,148.82397424205928,173.94145021138863,3598.378163079606,402.0774770308273,2994.023190715688,4168.59427169528,9.7,1.5670212364724212,8,12,3.0,1.6329931618554518,1,7
aco,static_frozen,10,171.97437884158393,8.75990057288226,158.94427532555702,184.85069842778955,3189.221359963975,68.56948933084321,3140.7929425670973,3343.3578683116853,31.84011709992774,0.0,31.84011709992774,31.84011709992774,171.97437884158393,8.75990057288226,158.94427532555702,184.85069842778955,3189.221359963975,68.56948933084321,3140.7929425670973,3343.3578683116853,0.0,0.0,0.0,0.0,171.97437884158393,8.75990057288226,158.94427532555702,184.85069842778955,3189.221359963975,68.56948933084321,3140.7929425670973,3343.3578683116853,0.0,0.0,0,0,0.0,0.0,0,0
aco,static_live,10,162.3829742316806,5.445531261380807,153.53076539232836,171.51204868416727,3250.0292517856096,104.93658283618977,3142.7257241099087,3393.814085238975,31.84011709992774,0.0,31.84011709992774,31.84011709992774,162.3829742316806,5.445531261380807,153.53076539232836,171.51204868416727,3250.0292517856096,104.93658283618977,3142.7257241099087,3393.814085238975,0.0,0.0,0.0,0.0,162.3829742316806,5.445531261380807,153.53076539232836,171.51204868416727,3250.0292517856096,104.93658283618977,3142.7257241099087,3393.814085238975,0.0,0.0,0,0,0.0,0.0,0,0
ga,adaptive,10,184.703822596841,13.691098028660429,162.74605777104256,201.8041099694985,2905.7562756826906,196.34064738231936,2594.579794926969,3337.669881611641,2669.7013232800177,218.85812966105402,2389.900906299823,3153.337554199737,184.703822596841,13.691098028660429,162.74605777104256,201.8041099694985,2905.7562756826906,196.34064738231936,2594.579794926969,3337.669881611641,2643.953572480031,218.85812966105414,2364.1531554998364,3127.589803399751,184.703822596841,13.691098028660429,162.74605777104256,201.8041099694985,2905.7562756826906,196.34064738231936,2594.579794926969,3337.669881611641,7.5,0.7071067811865472,7,9,2.3,1.0593499054713802,1,4
ga,static_frozen,10,190.49582757350927,19.427323976286974,165.82491761362425,227.36820196491755,3204.3160753810234,104.26099643716492,3061.960214935573,3394.3160249854013,25.747750799986527,0.0,25.74775079998653,25.74775079998653,190.49582757350927,19.427323976286974,165.82491761362425,227.36820196491755,3204.3160753810234,104.26099643716492,3061.960214935573,3394.3160249854013,0.0,0.0,0.0,0.0,190.49582757350927,19.427323976286974,165.82491761362425,227.36820196491755,3204.3160753810234,104.26099643716492,3061.960214935573,3394.3160249854013,0.0,0.0,0,0,0.0,0.0,0,0
ga,static_live,10,180.2911851297321,13.232294642161165,161.4281664725553,201.744403927894,3267.0782118028715,168.28789026791816,3061.960214935573,3559.743731723873,25.747750799986527,0.0,25.74775079998653,25.74775079998653,180.2911851297321,13.232294642161165,161.4281664725553,201.744403927894,3267.0782118028715,168.28789026791816,3061.960214935573,3559.743731723873,0.0,0.0,0.0,0.0,180.2911851297321,13.232294642161165,161.4281664725553,201.744403927894,3267.0782118028715,168.28789026791816,3061.960214935573,3559.743731723873,0.0,0.0,0,0,0.0,0.0,0,0
nn,adaptive,10,196.9105355863683,18.351633618464533,157.8387745503856,219.23463818799056,3150.444338588667,217.023670217049,2945.1497126983318,3730.13023648505,63.53078078991966,8.74104990048104,53.76266050012782,85.28334060020279,196.9105355863683,18.351633618464533,157.8387745503856,219.23463818799056,3150.444338588667,217.023670217049,2945.1497126983318,3730.13023648505,53.32069629001198,8.74104990048104,43.55257600022014,75.07325610029511,196.9105355863683,18.351633618464533,157.8387745503856,219.23463818799056,3150.444338588667,217.023670217049,2945.1497126983318,3730.13023648505,8.0,0.8164965809277264,7,10,2.5,0.7071067811865476,1,3
nn,static_frozen,10,238.05235968267715,25.049568470022145,201.84407714768196,271.2786224389911,3058.796430589717,68.45958891692416,2959.9147331863123,3150.3281438591125,10.21008449990768,0.0,10.21008449990768,10.21008449990768,238.05235968267715,25.049568470022145,201.84407714768196,271.2786224389911,3058.796430589717,68.45958891692416,2959.9147331863123,3150.3281438591125,0.0,0.0,0.0,0.0,238.05235968267715,25.049568470022145,201.84407714768196,271.2786224389911,3058.796430589717,68.45958891692416,2959.9147331863123,3150.3281438591125,0.0,0.0,0,0,0.0,0.0,0,0
nn,static_live,10,216.54152558267165,16.19004044152984,191.1667825614857,235.0721508103181,3178.0022678475884,145.3775313722579,2948.493475462956,3517.6170749384714,10.21008449990768,0.0,10.21008449990768,10.21008449990768,216.54152558267165,16.19004044152984,191.1667825614857,235.0721508103181,3178.0022678475884,145.3775313722579,2948.493475462956,3517.6170749384714,0.0,0.0,0.0,0.0,216.54152558267165,16.19004044152984,191.1667825614857,235.0721508103181,3178.0022678475884,145.3775313722579,2948.493475462956,3517.6170749384714,0.0,0.0,0,0,0.0,0.0,0,0
proposed,adaptive,10,158.3134629325993,9.924872537630113,143.92979688469367,171.0111885735448,3188.756214241577,283.22672359237777,2795.686042942327,3651.802905002842,1725.2511943399556,43.439337960766586,1652.1258361999644,1780.9524220996536,158.3134629325993,9.924872537630113,143.92979688469367,171.0111885735448,3188.756214241577,283.22672359237777,2795.686042942327,3651.802905002842,585.6556154398829,43.43933796076658,512.5302572998917,641.3568431995809,158.3134629325993,9.924872537630113,143.92979688469367,171.0111885735448,3188.756214241577,283.22672359237777,2795.686042942327,3651.802905002842,9.3,0.9486832980505138,8,11,1.4,0.5163977794943222,1,2
