method,reference_policy,n,energy_delta_mean,energy_delta_std,energy_delta_min,energy_delta_max,energy_gain_pct_mean,energy_gain_pct_std,energy_gain_pct_min,energy_gain_pct_max,operating_time_delta_mean,operating_time_delta_std,operating_time_delta_min,operating_time_delta_max,operating_time_gain_pct_mean,operating_time_gain_pct_std,operating_time_gain_pct_min,operating_time_gain_pct_max,compute_aware_energy_delta_mean,compute_aware_energy_delta_std,compute_aware_energy_delta_min,compute_aware_energy_delta_max,compute_aware_energy_gain_pct_mean,compute_aware_energy_gain_pct_std,compute_aware_energy_gain_pct_min,compute_aware_energy_gain_pct_max,compute_aware_time_delta_mean,compute_aware_time_delta_std,compute_aware_time_delta_min,compute_aware_time_delta_max,compute_aware_time_gain_pct_mean,compute_aware_time_gain_pct_std,compute_aware_time_gain_pct_min,compute_aware_time_gain_pct_max,adaptive_energy_win_mean,adaptive_energy_win_std,adaptive_energy_win_min,adaptive_energy_win_max
aco,static_live,10,-3.1844065799871344,6.6050682200868716,-17.275014207374625,5.424122807935788,1.92905856791852,3.9449977551026914,-3.402181044649252,10.072186962903048,348.34891129399637,391.6465037279846,-148.87746159359858,1025.8685475853717,-10.74057368709364,12.24170940993387,-32.64263692231434,4.736944563749063,-3.1844065799871344,6.6050682200868716,-17.275014207374625,5.424122807935788,1.92905856791852,3.9449977551026914,-3.402181044649252,10.072186962903048,348.34891129399637,391.6465037279846,-148.87746159359858,1025.8685475853717,-10.74057368709364,12.24170940993387,-32.64263692231434,4.736944563749063,0.6,0.5163977794943222,0,1
aco,static_frozen,10,-12.775811189890465,10.227866880620997,-30.61366395099691,0.14430512535543016,7.256134137235039,5.497001167989832,-0.08303078009940619,16.561292010998752,409.1568031156306,381.83595115254667,-149.54705298223416,1025.0951129041123,-12.785785525713802,12.032498508350313,-32.61000118410442,4.7572359256815995,-12.775811189890465,10.227866880620997,-30.61366395099691,0.14430512535543016,7.256134137235039,5.497001167989832,-0.08303078009940619,16.561292010998752,409.1568031156306,381.83595115254667,-149.54705298223416,1025.0951129041123,-12.785785525713802,12.032498508350313,-32.61000118410442,4.7572359256815995,0.9,0.31622776601683794,0,1
ga,static_live,10,4.412637467108917,5.76082435693691,-1.3140281292896532,16.112231872813084,-2.4836943639010807,3.164856786652952,-8.676864081488702,0.6567181211196738,-361.3219361201806,281.4717158894704,-965.1639367969042,67.16131906405099,10.80449958264353,7.881101625427998,-2.0535435935913013,27.11329830278275,4.412637467108917,5.76082435693691,-1.3140281292896532,16.112231872813084,-2.4836943639010807,3.164856786652952,-8.676864081488702,0.6567181211196738,-361.3219361201806,281.4717158894704,-965.1639367969042,67.16131906405099,10.80449958264353,7.881101625427998,-2.0535435935913013,27.11329830278275,0.3,0.4830458915396479,0,1
ga,static_frozen,10,-5.79200497666825,9.505573179428414,-26.937826166313187,5.260928374321082,2.7465142166915766,4.465155365578497,-3.1725801224754187,11.84766644302779,-298.55979969833277,240.64238467342796,-799.7362300584323,105.08647353840206,9.198144204048528,7.108182450026703,-3.2508511080008975,23.561042170841233,-5.79200497666825,9.505573179428414,-26.937826166313187,5.260928374321082,2.7465142166915766,4.465155365578497,-3.1725801224754187,11.84766644302779,-298.55979969833277,240.64238467342796,-799.7362300584323,105.08647353840206,9.198144204048528,7.108182450026703,-3.2508511080008975,23.561042170841233,0.8,0.4216370213557839,0,1
nn,static_live,10,-19.630989996303363,12.86123468042042,-42.75971342920198,-0.2274208134195419,9.036100664682582,5.86258565431932,0.10966667864540097,18.190037944437403,-27.55792925892124,261.5380437734523,-425.5172674502073,559.7806033098659,0.689540005853575,8.055923649056453,-17.65674667084689,12.09674783767219,-19.630989996303363,12.86123468042042,-42.75971342920198,-0.2274208134195419,9.036100664682582,5.86258565431932,0.10966667864540097,18.190037944437403,-27.55792925892124,261.5380437734523,-425.5172674502073,559.7806033098659,0.689540005853575,8.055923649056453,-17.65674667084689,12.09674783767219,1.0,0.0,1,1
nn,static_frozen,10,-41.14182409630888,22.992023248442173,-76.6281786240412,-12.04365968083465,16.84825892082978,8.202750860360213,5.20743182210096,28.492601735757063,91.6479079989505,196.7307709391317,-49.65074058785012,617.754489084351,-2.979409277783757,6.3370064645875015,-19.84832614122086,1.645745581154034,-41.14182409630888,22.992023248442173,-76.6281786240412,-12.04365968083465,16.84825892082978,8.202750860360213,5.20743182210096,28.492601735757063,91.6479079989505,196.7307709391317,-49.65074058785012,617.754489084351,-2.979409277783757,6.3370064645875015,-19.84832614122086,1.645745581154034,1.0,0.0,1,1
proposed,static_live,10,0.36242006838821794,3.8461738434222172,-6.985597081826683,8.96568952807803,-0.26267759978612315,2.3017707958534186,-5.53282231280144,3.9377888993938774,32.19719275247312,157.02381633114513,-234.17364017473255,345.2235396483734,-1.0379071817342447,4.814988528889023,-10.440503659629083,6.865175807108795,0.36242006838821794,3.8461738434222172,-6.985597081826683,8.96568952807803,-0.26267759978612315,2.3017707958534186,-5.53282231280144,3.9377888993938774,32.19719275247312,157.02381633114513,-234.17364017473255,345.2235396483734,-1.0379071817342447,4.814988528889023,-10.440503659629083,6.865175807108795,0.6,0.5163977794943222,0,1
proposed,static_frozen,10,-10.555242627638844,7.362361659806244,-26.749727268700923,-0.010901687597623777,6.042219149415196,3.851184412326839,0.007573735368630732,13.567308884517116,190.29095998687845,203.1808292120134,0.0,556.0960664542572,-6.216442307163801,6.580490809648736,-17.963460219475486,0.0,-10.555242627638844,7.362361659806244,-26.749727268700923,-0.010901687597623777,6.042219149415196,3.851184412326839,0.007573735368630732,13.567308884517116,190.29095998687845,203.1808292120134,0.0,556.0960664542572,-6.216442307163801,6.580490809648736,-17.963460219475486,0.0,1.0,0.0,1,1
pso,static_live,10,-20.786081676842457,11.31924275849632,-42.70245041917198,-6.495555860158106,10.23817997444191,5.291340535093155,3.767313772630319,19.221220088919356,346.51645418897385,329.8129986228821,-12.880526215389636,1001.0286182629884,-11.459365416703998,11.13444306750803,-32.429114896256884,0.37492018530561216,-20.786081676842457,11.31924275849632,-42.70245041917198,-6.495555860158106,10.23817997444191,5.291340535093155,3.767313772630319,19.221220088919356,346.51645418897385,329.8129986228821,-12.880526215389636,1001.0286182629884,-11.459365416703998,11.13444306750803,-32.429114896256884,0.37492018530561216,1.0,0.0,1,1
pso,static_frozen,10,-40.259443189363324,18.518151696308358,-75.57977291557145,-14.478481956496807,17.8642211011005,7.087410051808049,7.030177660944544,29.634433824891236,542.8124732428944,280.205629591008,325.8579508496887,1216.753638748045,-18.47895715163851,9.944589542709108,-42.37941858418173,-10.594152129541136,-40.259443189363324,18.518151696308358,-75.57977291557145,-14.478481956496807,17.8642211011005,7.087410051808049,7.030177660944544,29.634433824891236,542.8124732428944,280.205629591008,325.8579508496887,1216.753638748045,-18.47895715163851,9.944589542709108,-42.37941858418173,-10.594152129541136,1.0,0.0,1,1
