traffic_seed,baseline,proposed_energy_kwh,baseline_energy_kwh,proposed_minus_baseline_kwh,proposed_reduction_pct,proposed_win
2026,nn,143.92979688469367,216.07661106340493,-72.14681417871125,33.38946025839913,1
2026,aco,143.92979688469367,152.23428131621876,-8.304484431525083,5.455068569132029,1
2026,pso,143.92979688469367,195.69602326487896,-51.76622638018529,26.45236500800966,1
2026,ga,143.92979688469367,177.49800966225993,-33.56821277756626,18.911881232606078,1
2027,nn,150.7241451880533,208.93201478101577,-58.20786959296245,27.859717743099754,1
2027,aco,150.7241451880533,160.72144430363664,-9.997299115583331,6.220264606816455,1
2027,pso,150.7241451880533,184.12867312017156,-33.40452793211824,18.1419478922312,1
2027,ga,150.7241451880533,201.8041099694985,-51.0799647814452,25.311657324107834,1
2028,nn,166.5832349116583,192.31243738111613,-25.729202469457817,13.378855169137523,1
2028,aco,166.5832349116583,164.85487433911976,1.7283605725385485,-1.0484133875126869,0
2028,pso,166.5832349116583,179.46060802158266,-12.87737310992435,7.175598729931676,1
2028,ga,166.5832349116583,200.43037579860436,-33.84714088694605,16.88723116547773,1
2029,nn,167.93941268076958,185.2498323998868,-17.31041971911722,9.344364577750516,1
2029,aco,167.93941268076958,162.81401500174945,5.125397679020125,-3.1480076693428707,0
2029,pso,167.93941268076958,159.9726925296431,7.966720151126481,-4.980050048010687,0
2029,ga,167.93941268076958,182.92216324773352,-14.982750566963944,8.19077923688921,1
2030,nn,154.54373802086798,219.23463818799056,-64.69090016712258,29.50760915419354,1
2030,aco,154.54373802086798,173.94145021138863,-19.39771219052065,11.151862978575194,1
2030,pso,154.54373802086798,191.4691150285777,-36.92537700770973,19.28529152192427,1
2030,ga,154.54373802086798,189.9754483722191,-35.431710351351114,18.65067862976153,1
2031,nn,170.41337630910186,198.58608607728752,-28.172709768185655,14.186648382415447,1
2031,aco,170.41337630910186,154.23703447679264,16.17634183230922,-10.487975139811963,0
2031,pso,170.41337630910186,196.542320831217,-26.128944522115148,13.294309546977255,1
2031,ga,170.41337630910186,197.07327066018283,-26.659894351080965,13.527909828548554,1
2032,nn,157.17731782819584,207.14715843766743,-49.96984060947159,24.122870420405985,1
2032,aco,157.17731782819584,156.79983327692182,0.3774845512740228,-0.24074295449495348,0
2032,pso,157.17731782819584,168.78951948916017,-11.612201660964331,6.879693535539734,1
2032,ga,157.17731782819584,171.1129953558103,-13.935677527614473,8.144137444755025,1
2033,nn,147.876276910834,182.4147699067975,-34.53849299596348,18.93404410926291,1
2033,aco,147.876276910834,148.82397424205928,-0.947697331225271,0.6367907698015508,1
2033,pso,147.876276910834,164.42741542522393,-16.55113851438992,10.065923904226798,1
2033,ga,147.876276910834,171.08584598794533,-23.209569077111325,13.56603694659035,1
2034,nn,171.0111885735448,157.8387745503856,13.172414023159206,-8.345486754241291,0
2034,aco,171.0111885735448,161.9204293854704,9.0907591880744,-5.614337377053757,0
2034,pso,171.0111885735448,165.9232086013681,5.087979972176726,-3.066466719794842,0
2034,ga,171.0111885735448,162.74605777104256,8.265130802502256,-5.078544399600733,0
2035,nn,152.93614201827344,201.31303307813064,-48.3768910598572,24.03068014035727,1
2035,aco,152.93614201827344,155.63833996357715,-2.702197945303709,1.7362032683823816,1
2035,pso,152.93614201827344,193.97038054636843,-41.03423852809499,21.15489922353676,1
2035,ga,152.93614201827344,192.38994914311365,-39.45380712484021,20.507208043124745,1
