epoch,elapsed_s,elapsed_min,traffic_state,traffic_change,center_bins,peak_tt_multiplier,speed_multiplier,recovery_progress,disruption_region_edges,disruption_region_length_km,disruption_region_speed_kmh,affected_edges,affected_length_km,network_speed_kmh_at_start_hour,speed_change_from_previous_pct
0,0.0,0.0,normal,initial,0 12 32 51,1.0,1.0,0.0,2797,105.20811,28.1985908169713,0,0.0,34.78485670281197,0.0
1,60.0,1.0,normal,normal,0 12 32 51,1.0,1.0,0.0,2797,105.20811,28.1985908169713,0,0.0,34.78485670281197,0.0
2,120.0,2.0,normal,normal,0 12 32 51,1.0,1.0,0.0,2797,105.20811,28.1985908169713,0,0.0,34.78485670281197,0.0
3,180.0,3.0,normal,normal,0 12 32 51,1.0,1.0,0.0,2797,105.20811,28.1985908169713,0,0.0,34.78485670281197,0.0
4,240.0,4.0,normal,normal,0 12 32 51,1.0,1.0,0.0,2797,105.20811,28.1985908169713,0,0.0,34.78485670281197,0.0
5,300.0,5.0,normal,normal,0 12 32 51,1.0,1.0,0.0,2797,105.20811,28.1985908169713,0,0.0,34.78485670281197,0.0
6,360.0,6.0,normal,normal,0 12 32 51,1.0,1.0,0.0,2797,105.20811,28.1985908169713,0,0.0,34.78485670281197,0.0
7,420.0,7.0,normal,normal,0 12 32 51,1.0,1.0,0.0,2797,105.20811,28.1985908169713,0,0.0,34.78485670281197,0.0
8,480.0,8.0,normal,normal,0 12 32 51,1.0,1.0,0.0,2797,105.20811,28.1985908169713,0,0.0,34.78485670281197,0.0
9,540.0,9.0,normal,normal,0 12 32 51,1.0,1.0,0.0,2797,105.20811,28.1985908169713,0,0.0,34.78485670281197,0.0
10,600.0,10.0,degrading,degrading,0 12 32 51,1.0,1.0,0.0,2797,105.20811,28.1985908169713,0,0.0,34.78485670281197,0.0
11,660.0,11.0,degrading,degrading,0 12 32 51,1.06951871657754,0.935,0.0,2797,105.20811,26.36568241386817,2797,105.20811,34.58624261731833,-0.570978593330207
12,720.0,12.0,degrading,degrading,0 12 32 51,1.1494252873563218,0.87,0.0,2797,105.20811,24.532774010765035,2797,105.20811,34.365766727216055,-0.6374670198834309
13,780.0,13.0,degrading,degrading,0 12 32 51,1.2422360248447206,0.8049999999999999,0.0,2797,105.20811,22.69986560766189,2797,105.20811,34.11318858383695,-0.7349701968938582
14,840.0,14.0,degrading,degrading,0 12 32 51,1.3513513513513513,0.74,0.0,2797,105.20811,20.866957204558762,2797,105.20811,33.820946324459584,-0.8566840905509299
15,900.0,15.0,degrading,degrading,0 12 32 51,1.4814814814814814,0.675,0.0,2797,105.20811,19.034048801455626,2797,105.20811,33.47890073173456,-1.0113424664219162
16,960.0,16.0,degrading,degrading,0 12 32 51,1.639344262295082,0.61,0.0,2797,105.20811,17.201140398352493,2797,105.20811,33.073134884250216,-1.2120046913599025
17,1020.0,17.0,degrading,degrading,0 12 32 51,1.8348623853211008,0.545,0.0,2797,105.20811,15.368231995249358,2797,105.20811,32.58401405704252,-1.4789067589737859
18,1080.0,18.0,degrading,degrading,0 12 32 51,2.0833333333333335,0.48,0.0,2797,105.20811,13.535323592146224,2797,105.20811,31.982913113523583,-1.8447725392784164
19,1140.0,19.0,degrading,degrading,0 12 32 51,2.409638554216868,0.4149999999999999,0.0,2797,105.20811,11.702415189043085,2797,105.20811,31.226405631426534,-2.3653488955550084
20,1200.0,20.0,disrupted,holding,0 12 32 51,2.857142857142857,0.35,0.0,2797,105.20811,9.869506785939956,2797,105.20811,30.24527695785376,-3.1419840155581524
21,1260.0,21.0,disrupted,disrupted,0 12 32 51,2.857142857142857,0.35,0.0,2797,105.20811,9.869506785939956,2797,105.20811,30.24527695785376,0.0
22,1320.0,22.0,disrupted,disrupted,0 12 32 51,2.857142857142857,0.35,0.0,2797,105.20811,9.869506785939956,2797,105.20811,30.24527695785376,0.0
23,1380.0,23.0,disrupted,disrupted,0 12 32 51,2.857142857142857,0.35,0.0,2797,105.20811,9.869506785939956,2797,105.20811,30.24527695785376,0.0
24,1440.0,24.0,disrupted,disrupted,0 12 32 51,2.857142857142857,0.35,0.0,2797,105.20811,9.869506785939956,2797,105.20811,30.24527695785376,0.0
25,1500.0,25.0,disrupted,disrupted,0 12 32 51,2.857142857142857,0.35,0.0,2797,105.20811,9.869506785939956,2797,105.20811,30.24527695785376,0.0
26,1560.0,26.0,disrupted,disrupted,0 12 32 51,2.857142857142857,0.35,0.0,2797,105.20811,9.869506785939956,2797,105.20811,30.24527695785376,0.0
27,1620.0,27.0,disrupted,disrupted,0 12 32 51,2.857142857142857,0.35,0.0,2797,105.20811,9.869506785939956,2797,105.20811,30.24527695785376,0.0
28,1680.0,28.0,disrupted,disrupted,0 12 32 51,2.857142857142857,0.35,0.0,2797,105.20811,9.869506785939956,2797,105.20811,30.24527695785376,0.0
29,1740.0,29.0,disrupted,disrupted,0 12 32 51,2.857142857142857,0.35,0.0,2797,105.20811,9.869506785939956,2797,105.20811,30.24527695785376,0.0
30,1800.0,30.0,recovering,recovering,0 12 32 51,2.857142857142857,0.35,0.0,2797,105.20811,9.869506785939956,2797,105.20811,30.24527695785376,0.0
31,1860.0,31.0,recovering,recovering,0 12 32 51,2.6595744680851063,0.376,0.04,2797,105.20811,10.60267014718121,2797,105.20811,30.670726715627296,1.4066651079650994
32,1920.0,32.0,recovering,recovering,0 12 32 51,2.4875621890547266,0.40199999999999997,0.08,2797,105.20811,11.335833508422462,2797,105.20811,31.0510110649113,1.2398935076104456
33,1980.0,33.0,recovering,recovering,0 12 32 51,2.336448598130841,0.428,0.12,2797,105.20811,12.068996869663717,2797,105.20811,31.392959580447428,1.1012476045346498
34,2040.0,34.0,recovering,recovering,0 12 32 51,2.2026431718061676,0.45399999999999996,0.16,2797,105.20811,12.802160230904969,2797,105.20811,31.702090954731577,0.9847156127219314
35,2100.0,35.0,recovering,recovering,0 12 32 51,2.0833333333333335,0.48,0.2,2797,105.20811,13.535323592146224,2797,105.20811,31.982913113523583,0.8858158889046175
36,2160.0,36.0,recovering,recovering,0 12 32 51,1.976284584980237,0.506,0.24,2797,105.20811,14.268486953387479,2797,105.20811,32.23914449062352,0.8011508401077672
37,2220.0,37.0,recovering,recovering,0 12 32 51,1.8796992481203008,0.532,0.28,2797,105.20811,15.001650314628732,2797,105.20811,32.47387961181962,0.7281059249707234
38,2280.0,38.0,recovering,recovering,0 12 32 51,1.7921146953405016,0.558,0.32,2797,105.20811,15.734813675869988,2797,105.20811,32.6897146821153,0.6646420842710832
39,2340.0,39.0,recovering,recovering,0 12 32 51,1.7123287671232879,0.584,0.36,2797,105.20811,16.46797703711124,2797,105.20811,32.888844011416055,0.6091497929460399
40,2400.0,40.0,recovering,recovering,0 12 32 51,1.639344262295082,0.61,0.4,2797,105.20811,17.201140398352493,2797,105.20811,33.073134884250216,0.5603446347040686
41,2460.0,41.0,recovering,recovering,0 12 32 51,1.572327044025157,0.636,0.44,2797,105.20811,17.93430375959375,2797,105.20811,33.24418629355876,0.5171913999298727
