method,policy,final_epoch,cumulative_energy_kwh,cumulative_operating_s,cumulative_planning_runtime_s,latency_adjusted_energy_kwh,latency_adjusted_time_s,min_battery_kwh,returned_to_depot,initial_planning_runtime_s,initial_compute_wait_aux_energy_kwh,total_reassigned_bins,total_next_choice_changes,replan_attempts,accepted_replans,disrupted_edges_traversed,traversed_edges,replanning_runtime_s,post_departure_latency_adjusted_time_s,post_departure_latency_adjusted_energy_kwh,disrupted_edge_share,adaptive_vs_static_live_gain_pct,adaptive_vs_static_frozen_gain_pct,adaptive_energy_gain_pct
aco,adaptive,60,154.23703447679264,3861.0368685274866,703.5519973000046,154.23703447679264,3861.0368685274866,153.24348396465084,True,31.84011709992774,0.0,32,12,11,7,169,1762,671.7118802000768,3861.0368685274866,154.23703447679264,0.09591373439273553,10.072186962903048,16.561292010998752,10.072186962903048
aco,static_frozen,50,184.85069842778955,3343.3578683116853,31.84011709992774,184.85069842778955,3343.3578683116853,133.29223499183806,True,31.84011709992774,0.0,0,0,0,0,349,1517,0.0,3343.3578683116853,184.85069842778955,0.23005932762030323,0.0,0.0,0.0
aco,static_live,51,171.51204868416727,3393.814085238975,31.84011709992774,171.51204868416727,3393.814085238975,141.75819375311613,True,31.84011709992774,0.0,0,0,0,0,216,1480,0.0,3393.814085238975,171.51204868416727,0.14594594594594595,0.0,0.0,0.0
ga,adaptive,39,197.07327066018283,2594.579794926969,2551.1251604999416,197.07327066018283,2594.579794926969,142.26134373140988,True,25.747750799986534,0.0,12,3,7,2,204,1880,2525.377409699955,2594.579794926969,197.07327066018283,0.10851063829787234,-3.372516103829464,6.269743307140176,-3.372516103829464
ga,static_frozen,48,210.25576757563223,3394.3160249854013,25.747750799986534,210.25576757563223,3394.3160249854013,130.81925281859844,True,25.747750799986534,0.0,0,0,0,0,310,1897,0.0,3394.3160249854013,210.25576757563223,0.16341591987348444,0.0,0.0,0.0
ga,static_live,50,190.64377852836475,3559.743731723873,25.747750799986534,190.64377852836475,3559.743731723873,137.39093111667776,True,25.747750799986534,0.0,0,0,0,0,225,1874,0.0,3559.743731723873,190.64377852836475,0.1200640341515475,0.0,0.0,0.0
nn,adaptive,43,198.58608607728752,3166.1683684634745,64.50716419983655,198.58608607728752,3166.1683684634745,139.21654618860399,True,10.21008449990768,0.0,29,3,8,3,186,1905,54.29707969992887,3166.1683684634745,198.58608607728752,0.09763779527559055,12.2568505864341,26.796264190722095,12.2568505864341
nn,static_frozen,43,271.2786224389911,3117.56852226056,10.21008449990768,271.2786224389911,3117.56852226056,118.66083880706691,True,10.21008449990768,0.0,0,0,0,0,518,2178,0.0,3117.56852226056,271.2786224389911,0.23783287419651056,0.0,0.0,0.0
nn,static_live,44,226.32659917559818,3242.5903649014435,10.21008449990768,226.32659917559818,3242.5903649014435,136.4935719969792,True,10.21008449990768,0.0,0,0,0,0,225,2011,0.0,3242.5903649014435,226.32659917559818,0.11188463451019394,0.0,0.0,0.0
proposed,adaptive,45,170.41337630910186,2795.686042942327,1714.5881621999433,170.41337630910186,2795.686042942327,143.35247646385042,True,1139.5955789000727,0.0,15,3,8,2,161,1419,574.9925832998706,2795.686042942327,170.41337630910186,0.11346018322762509,3.9377888993938774,13.567308884517116,3.9377888993938774
proposed,static_frozen,45,197.1631035778028,2795.686042942327,1139.5955789000727,197.1631035778028,2795.686042942327,126.14834494385475,True,1139.5955789000727,0.0,0,0,0,0,272,1517,0.0,2795.686042942327,197.1631035778028,0.17930125247198417,0.0,0.0,0.0
proposed,static_live,46,177.39897339092855,2895.956625398488,1139.5955789000727,177.39897339092855,2895.956625398488,139.01155448285863,True,1139.5955789000727,0.0,0,0,0,0,194,1481,0.0,2895.956625398488,177.39897339092855,0.13099257258609048,0.0,0.0,0.0
pso,adaptive,44,196.542320831217,3205.7414844601963,1911.7068852998782,196.542320831217,3205.7414844601963,143.16882022750474,True,21.334564200020395,0.0,75,14,8,3,189,1719,1890.3723210998578,3205.7414844601963,196.542320831217,0.1099476439790576,6.316958007784492,20.376570902333473,6.316958007784492
pso,static_frozen,40,246.83980966222535,2775.827198609305,21.334564200020395,246.83980966222535,2775.827198609305,118.90715805956597,True,21.334564200020395,0.0,0,0,0,0,370,1871,0.0,2775.827198609305,246.83980966222535,0.19775521111704972,0.0,0.0,0.0
pso,static_live,44,209.79498172950926,3009.924242859037,21.334564200020395,209.79498172950926,3009.924242859037,138.83523233514504,True,21.334564200020395,0.0,0,0,0,0,227,1877,0.0,3009.924242859037,209.79498172950926,0.12093766648907832,0.0,0.0,0.0
